method,path,url,status_code,ok,latency_ms,sample
GET,/api/gpts/health,http://localhost:5000/api/gpts/health,200,True,6.7,"{""checks"": {""database"": ""ok"", ""okx_fetcher"": ""ok"", ""signal_generator"": ""ok"", ""smc_analyzer"": ""ok""}, ""status"": ""healthy"", ""timestamp"": 1755529182, ""uptime"": ""active""}"
GET,/api/gpts/status,http://localhost:5000/api/gpts/status,200,True,2550.6,"{""components"": {""database"": ""available"", ""okx_api"": ""success"", ""openai"": ""available"", ""signal_generator"": ""available"", ""smc_analyzer"": ""available""}, ""status"": ""active"", ""timestamp"": 1755529185, ""version"": {""api_version"": ""2.0.0"", ""core_version"": ""1.2.3"", ""supported_symbols"": [""BTC"", ""ETH"", ""SOL"", ""A..."
GET,/api/gpts/ticker/<symbol>,http://localhost:5000/api/gpts/ticker/SOL-USDT,200,True,192.8,"{""status"": ""success"", ""ticker"": {""ask_price"": 182.48, ""bid_price"": 182.47, ""change_24h"": 0.0, ""high_24h"": 195.83, ""last_price"": 182.48, ""low_24h"": 180.0, ""symbol"": ""SOL-USDT"", ""timestamp"": 1755529185219, ""volume_24h"": 1157297.847302}, ""timestamp"": 1755529185}"
GET,/api/gpts/orderbook/<symbol>,http://localhost:5000/api/gpts/orderbook/SOL-USDT,200,True,235.3,"{""orderbook"": {""asks"": [[182.48, 0.1], [182.5, 9.678752], [182.51, 27.25735], [182.52, 55.100713], [182.53, 46.34547], [182.54, 183.299153], [182.55, 147.855414], [182.56, 353.401455], [182.57, 1001.422034], [182.58, 224.270023], [182.59, 247.095677], [182.6, 443.942312], [182.61, 1227.27075], [182...."
POST,/api/gpts/market-data,http://localhost:5000/api/gpts/market-data,200,True,197.0,"{""data"": {""candles"": [{""close"": 182.48, ""high"": 182.58, ""low"": 180.57, ""open"": 180.57, ""timestamp"": 1755525600000, ""volume"": 46040.722686}, {""close"": 180.56, ""high"": 183.35, ""low"": 180.51, ""open"": 183.2, ""timestamp"": 1755522000000, ""volume"": 75185.762506}, {""close"": 183.19, ""high"": 183.2, ""low"": 181..."
POST,/api/gpts/analysis,http://localhost:5000/api/gpts/analysis,200,True,185.1,"{""analysis"": {""price_change"": 0.5555555555555556, ""resistance"": 45800.0, ""support"": 44800.0, ""trend"": ""bullish"", ""volume"": 1250000.0}, ""status"": ""success"", ""symbol"": ""SOL-USDT"", ""timeframe"": ""4H"", ""timestamp"": 1755529186}"
GET,/api/gpts/sinyal/tajam,http://localhost:5000/api/gpts/sinyal/tajam?symbol=SOL-USDT&tf=1h&format=json,200,True,4.1,"{""data"": {""analysis"": {""momentum"": ""strong"", ""risk_level"": ""medium"", ""trend"": ""bullish""}, ""signal"": {""confidence"": 82.5, ""direction"": ""BUY"", ""entry_price"": 45250.0, ""reasoning"": ""Sharp signal for SOL-USDT based on SMC analysis and market structure"", ""stop_loss"": 44800.0, ""take_profit"": [46000.0, 468..."
GET,/api/gpts/signal,http://localhost:5000/api/gpts/signal?symbol=SOL-USDT&tf=15m,200,True,188.6,"{""signal"": {""confidence"": 50, ""current_price"": 182.46, ""data_source"": ""OKX_Authentic"", ""reasoning"": ""Market analysis with authentic OKX data"", ""resistance_level"": 183.53, ""signal"": ""neutral"", ""stop_loss"": 185.2, ""support_level"": 180.0, ""symbol"": ""SOL-USDT"", ""target_price"": 177.9, ""timeframe"": ""1H"", ..."
POST,/api/gpts/smc-zones,http://localhost:5000/api/gpts/smc-zones,200,True,5.5,"{""status"": ""success"", ""symbol"": ""SOL-USDT"", ""timeframes"": [""5m"", ""15m"", ""1h""], ""timestamp"": 1755529186, ""zones"": {""bearish_ob"": [{""price"": 45800, ""strength"": ""high"", ""tested"": false}], ""bullish_ob"": [{""price"": 44800, ""strength"": ""high"", ""tested"": false}, {""price"": 44200, ""strength"": ""medium"", ""teste..."
POST,/api/gpts/smc-analysis,http://localhost:5000/api/gpts/smc-analysis,200,True,258.9,"{""smc_analysis"": {""confidence"": 1.0, ""fair_value_gaps"": [{""high"": 194.56, ""low"": 194.37, ""timestamp"": 1755226800000.0, ""type"": ""bearish""}, {""high"": 192.2, ""low"": 192.81, ""timestamp"": 1755201600000.0, ""type"": ""bullish""}, {""high"": 196.88, ""low"": 201.87, ""timestamp"": 1755172800000.0, ""type"": ""bullish""}..."
